sentence1,sentence2,score
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,0.0
i feel myself redden my manhood has been insulted and it demands satisfaction,i feel myself redden my manhood has been insulted and it demands satisfaction,0.0
i am feeling a little nervous and anxious but never second guessing my decision,i am feeling a little nervous and anxious but never second guessing my decision,0.0
i first got my eye infection i have to back up and if possible make you feel less sympathetic for me than you probably already do,i first got my eye infection i have to back up and if possible make you feel less sympathetic for me than you probably already do,0.0
i am feeling more generous though i see it for what it is someone who doesn t know what we are going through from the insdie and is desperate to be helpful in some measure,i am feeling more generous though i see it for what it is someone who doesn t know what we are going through from the insdie and is desperate to be helpful in some measure,0.0
i feel agitated thinking about his mother and her supposedly hidden msg,i feel agitated thinking about his mother and her supposedly hidden msg,0.0
i was a nursing major made great friends and was no longer feeling homesick,i was a nursing major made great friends and was no longer feeling homesick,0.0
i feel so bitchy talking about myself this way ahaha i sound less retarded telling this story in person i swear and said if i were a boy i would fall in love with you,i feel so bitchy talking about myself this way ahaha i sound less retarded telling this story in person i swear and said if i were a boy i would fall in love with you,0.0
i really feel like i have a lot to offer in this area i would like to focus on troubled teenagers,i really feel like i have a lot to offer in this area i would like to focus on troubled teenagers,0.0
i feel this strange bonding with my bed and wardrode have been using both a little more than a decade,i feel this strange bonding with my bed and wardrode have been using both a little more than a decade,0.0
i love the rainbow look that i have going on and think that it feels really festive i just hope the kids don t feel like it s suppose to be a constant party in our classroom thanks to the tissue paper balls,i love the rainbow look that i have going on and think that it feels really festive i just hope the kids don t feel like it s suppose to be a constant party in our classroom thanks to the tissue paper balls,0.0
i don t understand why musicians sometimes feel inhibited,i don t understand why musicians sometimes feel inhibited,0.0
i feel so welcomed,i feel so welcomed,0.0
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,0.0
i know i will feel quite melancholy this weekend as its our very last bit of relaxation downtime within those four walls before a week of working packing and then eventually moving,i know i will feel quite melancholy this weekend as its our very last bit of relaxation downtime within those four walls before a week of working packing and then eventually moving,0.0
i was feeling kind of rebellious and my post was a little on the,i was feeling kind of rebellious and my post was a little on the,0.0
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,0.0
i always feel relaxed and happy there,i always feel relaxed and happy there,0.0
i can assure you that there are some in our midst who feel quite unwelcome who have not known what it is to be beloved,i can assure you that there are some in our midst who feel quite unwelcome who have not known what it is to be beloved,0.0
i feel just as gloomy about it at the age of as i did when i was,i feel just as gloomy about it at the age of as i did when i was,0.0
i would still feel weird,i would still feel weird,0.0
ive spent years feeling resentful and trying to curb that feeling of resentment,ive spent years feeling resentful and trying to curb that feeling of resentment,0.0
i feel like there s a possibility that statements like this make supporting our own interests more problematic,i feel like there s a possibility that statements like this make supporting our own interests more problematic,0.0
i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,0.0
i used feel frustrated all the time,i used feel frustrated all the time,0.0
i feel as much disturbed as much a fool as as that dealer in love philters paaker,i feel as much disturbed as much a fool as as that dealer in love philters paaker,0.0
i want to feel respected,i want to feel respected,0.0
im feeling a lil restless about axel,im feeling a lil restless about axel,0.0
i answered feeling rather skeptical,i answered feeling rather skeptical,0.0
i feel so dull and drowsy all the time,i feel so dull and drowsy all the time,0.0
i feel like everything about me is defective and wrong and needs to be changed but when i change it the new thing is wrong too because its mine and therefore it must be wrong,i feel like everything about me is defective and wrong and needs to be changed but when i change it the new thing is wrong too because its mine and therefore it must be wrong,0.0
i think back i feel like ive been spending a lot of time running around aimlessly unsure of where im going or why im doing this,i think back i feel like ive been spending a lot of time running around aimlessly unsure of where im going or why im doing this,0.0
ive been here for the last two or three months and yes i am playing with vinnie kompany but the other guys are good joleon kolo toure and they can also play well but im feeling good,ive been here for the last two or three months and yes i am playing with vinnie kompany but the other guys are good joleon kolo toure and they can also play well but im feeling good,0.0
im feeling really annoyed today,im feeling really annoyed today,0.0
i was feeling as if i am in the lap of the divine mother and she is holding me in her soft and tender arms,i was feeling as if i am in the lap of the divine mother and she is holding me in her soft and tender arms,0.0
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,0.0
i feel like most designers shy away from using color in the kitchen so i just love how julia incorporated bright splashes of orange blue and green throughout the space,i feel like most designers shy away from using color in the kitchen so i just love how julia incorporated bright splashes of orange blue and green throughout the space,0.0
i always think of you as such a violent band violently feeling violent lyrics musically violent,i always think of you as such a violent band violently feeling violent lyrics musically violent,0.0
i do feel alittle submissive it isnt the same,i do feel alittle submissive it isnt the same,0.0
i smoothly hand her a twenty feeling smug that they are both interested,i smoothly hand her a twenty feeling smug that they are both interested,0.0
im about to go look for him again when i start to feel calm and think that his phone probably died,im about to go look for him again when i start to feel calm and think that his phone probably died,0.0
ive always been able to produce work despite a day job and that i suspect professional pressures might add to a feeling of artistic foment it would take quite a bit to get me out of the saddle,ive always been able to produce work despite a day job and that i suspect professional pressures might add to a feeling of artistic foment it would take quite a bit to get me out of the saddle,0.0
i can do this but after a romantic meal and a few glasses of wine i m tired and lethargic and the last thing i feel like is some vigorous humping action,i can do this but after a romantic meal and a few glasses of wine i m tired and lethargic and the last thing i feel like is some vigorous humping action,0.0
i stopped taking the prescribed antidepressants months ago without bad feelings there good feelings have no distinction from the norm,i stopped taking the prescribed antidepressants months ago without bad feelings there good feelings have no distinction from the norm,0.0
i dont hate you i just honestly feel so bitter towards you atm,i dont hate you i just honestly feel so bitter towards you atm,0.0
i get the feeling that hes not impressed with me,i get the feeling that hes not impressed with me,0.0
im just feeling so inspired now that my hair is freshly cut,im just feeling so inspired now that my hair is freshly cut,0.0
i got a little bit of help from my brother at the beginning and lots of lucks near the end of the game which might make you feel dumb at least it did that to me hahaha and at the end you have to decide nikos and the worlds fate to save niko or to save the world,i got a little bit of help from my brother at the beginning and lots of lucks near the end of the game which might make you feel dumb at least it did that to me hahaha and at the end you have to decide nikos and the worlds fate to save niko or to save the world,0.0
i feel curious excited and impatient,i feel curious excited and impatient,0.0
i feel so respected and seen,i feel so respected and seen,0.0
i know a lot of people are whining that a first boot cant possibly be a favourite but you guys know how i feel about my beloved a href http winterpaysforsummer,i know a lot of people are whining that a first boot cant possibly be a favourite but you guys know how i feel about my beloved a href http winterpaysforsummer,0.0
ive been feeling the desire for a romantic interest even with my circumstances i feel as though im emotionally ready for a special someone in my life,ive been feeling the desire for a romantic interest even with my circumstances i feel as though im emotionally ready for a special someone in my life,0.0
i do feel slighted when some people use their piece of the cyber world to be rude towards me,i do feel slighted when some people use their piece of the cyber world to be rude towards me,0.0
i want to do with my life is an amazing feeling and i couldnt be more pleased about where my future is headed,i want to do with my life is an amazing feeling and i couldnt be more pleased about where my future is headed,0.0
im feeling glad all over yes im glad all over baby im glad all over so glad youre mine,im feeling glad all over yes im glad all over baby im glad all over so glad youre mine,0.0
i was driving back i was having a moment of missing new orleans and feeling really sad when it just hit me that i was able to go visit them for the night on a whim and i felt such a peace,i was driving back i was having a moment of missing new orleans and feeling really sad when it just hit me that i was able to go visit them for the night on a whim and i felt such a peace,0.0
